Class,SKey,AY,YearAVG,Y1,Y2,Y3,Y4,E1,M1,S1,E2,M2,S2,E3,M3,S3,E4,M4,S4,ET1,MT1,ST1,ET2,MT2,ST2
6,16033,1819,95.684205,95.31617,94.536614,95.499098,96.095316,93.735727,95.0668,95.2665,91.535639,95.397,94.6415,98.203659,95.1308,94.383,96.343,91.7838,99.816,93.188965,97.504,100,88.956071,97.63,99.08
5,16094,1819,86.255545,87.859538,90.660834,92.113576,96.697078,87.139011,88.4096,92.695,91.078482,87.2624,89.3725,98.950944,87.826,95.3145,96.556286,97.0512,NULL,88.579642,94.502,NULL,92.481724,99.004,NULL
4,16103,1819,94.815398,95.992601,96.940651,97.57248,97.1358,95.466498,93.7298,97.52,97.622416,97.4334,100,97.381007,98.4016,NULL,96.8004,98.375,NULL,96.462413,100,NULL,97.521111,99.375,NULL
4,16120,1819,80.27451,89.85669,93.97183,96.804808,97.695188,90.787983,87.6502,82.2115,93.266777,96.3656,96.347,95.32958,99.0344,NULL,96.3504,99.75,NULL,91.69862,100,NULL,94.137222,100,NULL
6,16124,1819,90.836467,89.895388,90.919314,85.937666,94.299766,89.981483,89.974,93.58,93.250704,94.348,86.9855,97.543185,82.4674,78.006,95.70175,92.3192,99.6075,91.498965,96,99,92.454285,97.126,100
5,16127,1819,94.496667,95.946312,92.806684,92.575591,90.653418,94.015164,97.5324,97.5385,92.893419,93.2484,88.7135,95.671444,86.6508,91.084,93.381264,91.5512,NULL,93.932142,94.002,NULL,92.577931,92.004,NULL
5,16129,1819,86.611858,88.353777,90.810983,96.956214,96.115343,91.871643,82.088,89.252,92.362095,81.5648,95.9185,98.88875,95.3022,97.2805,96.016404,95.251,NULL,92.544285,91.38,NULL,91.722758,98,NULL
6,16136,1819,93.766699,93.442949,96.045417,93.456713,97.008532,92.874536,90.1878,93.569,95.589871,95.4552,95.431,97.145952,92.2892,88.9485,96.820277,96.7636,99.726,92.937931,95.628,100,91.458571,93.75,99.11
5,16173,1819,93.328963,94.059029,94.381411,96.22403,93.985624,95.701942,89.7456,98.157,95.532904,93.3426,96.0715,98.986288,94.8272,99.8,94.727985,92.326,NULL,96.076785,94,NULL,94.884137,92.88,NULL
4,16242,1819,90.806638,92.06844,92.706825,70.563734,79.784729,92.37617,88.7972,92.506,96.395055,92.1986,97.264,78.226766,59.1508,72.7,80.010147,64.951,NULL,92.130344,72,NULL,94.865,58.38,NULL
6,16347,1819,95.886066,94.603188,94.80677,93.498662,93.369684,92.079185,91.1174,98.442,91.282726,95.4594,98.354,92.390586,92.739,97.954,90.440027,92.8344,98.1005,89.431034,88.38,95,92.1875,89.632,98.28
4,16358,1819,88.240756,86.773335,91.107177,91.951358,96.51267,90.951759,86.9494,88.266,94.998194,89.6686,92.983,96.848786,91.8344,NULL,95.490511,95.75,NULL,91.046206,100,NULL,95.508333,99.375,NULL
4,16399,1819,94.740082,94.537523,95.765891,97.068385,95.079466,94.750732,92.4398,95.388,96.658888,98.7228,99.376,97.04408,97.3508,NULL,94.7044,98.438,NULL,95.035357,99.793333,NULL,95.003333,100,NULL
5,16444,1819,80.770259,82.905145,78.433451,87.275596,90.631169,83.925747,73.5682,82.2885,84.784314,72.701,76.923,94.906783,77.9262,94.6475,89.839639,87.6508,NULL,84.611785,81.502,NULL,83.206551,84.502,NULL
4,16466,1819,92.688756,94.310688,94.694692,97.312545,96.714679,93.790077,90.9268,96.789,96.311805,89.634,95.384,96.892036,98.0176,NULL,95.6006,98.2815,NULL,92.464827,100,NULL,95.506111,98.9075,NULL
5,16498,1819,82.325181,88.870646,89.943872,90.365645,94.470043,93.546404,80.0006,97.0175,93.458559,82.8002,94.8425,97.621583,83.7264,94.6575,95.870764,94.1012,NULL,90.753928,91.256,NULL,93.935517,95.25,NULL
4,16519,1819,87.636788,88.285325,90.350122,95.576442,97.279083,90.151346,86.615,80.5355,95.142361,84.3194,94.924,96.817095,93.5844,NULL,95.509,99.6875,NULL,91.44,100,NULL,92.277777,100,NULL
5,16539,1819,80.381236,84.36515,87.776522,92.699691,95.670327,82.280908,79.0518,80.341,87.515026,89.8418,86.4705,95.237944,91.5266,93.1895,92.508227,97.8012,NULL,84.488214,97.752,NULL,87.02862,98.004,NULL
4,16544,1819,97.577387,96.792751,96.489409,96.977879,97.944587,96.375846,95.8294,98.7425,96.719805,96.9956,98.607,96.767426,99.4676,NULL,96.263888,100,NULL,95.005517,100,NULL,96.461111,100,NULL
4,16725,1819,93.933561,95.623951,95.484515,95.289186,90.652947,94.857903,97.0336,96.0955,96.445277,97.5124,99.2535,94.759514,97.6836,NULL,91.110466,98.9465,NULL,93.826551,98.81,NULL,95.696666,100,NULL
4,16864,1819,87.820056,90.037816,90.852774,90.786395,91.030724,90.490412,83.4038,91.7525,94.574805,87.7198,94.953,94.267286,84.9094,NULL,95.484022,86.285714,NULL,90.814482,100,NULL,94.117222,100,NULL
4,16870,1819,88.266233,86.14188,90.187086,87.458733,80.674576,84.630118,86.7464,88.385,89.773,85.5664,96.2675,91.642867,85.834,NULL,73.078222,82.841508,NULL,86.579655,98.81,NULL,92.276666,95.105,NULL
