Class,SKey,AY,YearAVG,Y1,Y2,Y3,Y4,E1,M1,S1,E2,M2,S2,E3,M3,S3,E4,M4,S4,ET1,MT1,ST1,ET2,MT2,ST2
7,5020,1718,88.255373,88.749291,87.08938,92.802911,89.12581,90.16791,83.499,95.6955,86.496932,80.264667,94.71,90.766037,94.011407,93.159,92.890956,76.962666,93.411,88.051428,81.306666,100,90.963448,78.531111,94.87
7,5021,1718,90.440638,89.325466,85.433708,93.27084,95.28151,90.197641,87.571333,93.548,84.963652,77.604333,91.717,91.270888,93.780444,92.209,95.728843,95.98,94.785,89.936428,94.671111,90.84,89.960714,98.391111,92.82
7,5022,1718,85.622633,85.500533,88.750152,94.559771,92.611269,86.11203,79.170333,92.903,86.224408,84.032,90.076,91.718518,96.098666,94.553,94.020857,85.379111,97.106,87.274285,86.546666,97.5,89.438965,94.051111,93.66
9,5029,1718,97.563982,96.666822,97.119991,95.596732,95.96804,94.416,97.1545,97.1385,95.805136,98.637333,97.666,93.364296,97.1995,98.461,93.931396,94.871667,98.906,96.70186,92.08,98.59,93.589772,92.61,97.34
7,5030,1718,97.003848,97.35454,97.039166,98.111221,97.713056,95.465678,98.528333,99.516,94.094521,97.3185,99.435,98.337777,98.097037,98.357,97.631944,96.142222,98.335,91.927857,99.12,100,96.687586,97.546666,100
11,5044,1718,73.956436,64.493331,66.699685,76.126503,77.250746,61.45603,63.45,NULL,60.523661,58.802,76.481,66.664136,83.442583,70.942222,72.837162,72.8155,84.863,58.889411,74.1,75.81,60.306666,69.08,78.72
11,5047,1718,86.677493,85.561973,87.879016,88.595806,84.615482,86.904342,82.31775,NULL,86.985186,87.75225,88.46,86.613242,94.690666,81.314,86.00704,80.79025,94.024,83.735882,81.67,90.03,90.583255,85.81,96.56
7,5050,1718,90.225414,87.690089,88.925296,92.209442,95.388827,85.270011,91.642667,92.32,86.221044,90.688333,88.8035,88.105703,93.776592,95.0725,94.987401,94.424888,92.516,90.778571,96.017777,97.5,85.554482,97.084444,93.65
7,5051,1718,87.305202,87.70765,91.145539,94.281265,93.839237,87.805613,92.154,86.9235,86.335293,91.395333,93.26,89.482963,99.017777,93.6985,87.733876,96.297333,92.354,82.762857,95.457777,93.75,86.864827,96.044444,90.19
7,5057,1718,73.637772,78.383368,65.578978,72.117277,78.072469,73.221224,80.738667,82.3505,57.271538,52.843,74.7835,63.061962,65.970962,70.3275,66.202483,69.743333,77.713,70.9975,62.611111,92.92,57.621379,89.288888,74.49
7,5070,1718,78.62733,82.830793,76.556188,81.511383,84.729977,81.993459,74.536667,85.8405,71.382032,73.723333,68.9705,77.380518,82.133037,61.2695,80.936142,86.821333,70.506,77.053214,84.74,95.42,78.760344,85.791111,62.28
7,5073,1718,85.65889,84.365114,82.135626,86.904992,90.594037,84.13198,78.438667,88.2155,78.071898,73.021,84.5205,85.16374,80.665629,94.084,92.929263,86.196,86.5435,81.407857,87.044444,95.84,89.240344,88.308888,84.94
7,5080,1718,87.100016,84.209371,82.041902,91.812214,89.13914,85.6108,77.604333,83.258,82.037685,77.941,86.44,89.384666,88.912888,92.3055,89.476806,81.760444,91.417,85.601785,80.817777,87.09,86.215862,81.277777,92.44
7,5088,1718,72.203564,78.048608,79.468802,86.652113,82.52136,80.092475,68.895,76.925,77.075643,75.258333,73.793,82.156666,86.346073,82.5215,81.155359,61.410222,89.651,68.952142,83.875555,84.59,82.2,82.366666,90.52
7,5094,1718,84.650594,92.493735,92.646559,97.729592,98.378213,93.041492,91.063667,89.533,89.686754,92.388,89.908,96.919384,98.922666,97.4025,95.75348,99.406666,99.213,94.345,97.964444,97.92,95.412068,99.555555,100
9,5104,1718,69.631423,63.526262,66.064901,68.986781,66.945459,69.207439,55.89275,54.966,72.291886,52.432,73.82,70.857497,63.9335,68.605,73.236486,54.001667,56.5925,71.594285,67.32,54.94,70.570232,52.21,45.39
8,5106,1718,63.574432,71.483285,72.409646,69.123264,77.319316,75.89058,57.6365,78.008,73.207385,74.699667,70.688,67.657413,59.525,73.912,74.176925,81.623555,65.1665,74.204761,85.333333,74.25,68.913928,79.046666,66.65
10,5125,1718,87.605013,90.889226,89.369792,91.639726,95.133997,88.218742,91.387,91.3525,88.157441,89.613,89.1575,88.96156,90.5386,94.5985,91.174762,97.27375,96.333,87.757674,97.27,97.87,90.650697,97.79,95.14
7,5136,1718,80.548334,88.106801,85.946821,93.542146,94.309707,88.186189,89.5885,92.681,82.111763,84.615,86.735,88.462666,94.831111,96.4825,93.545289,92.754666,95.2435,84.770714,94.56,97.5,89.326785,95.52,95.84
7,5154,1718,83.409034,79.553377,81.048832,86.313075,85.928072,77.497371,76.084667,81.938,75.958877,83.426333,72.989,82.472925,85.539111,84.061,80.88191,85.283111,80.248,76.478928,88.675555,93.34,81.322413,92,79.04
7,5158,1718,82.924299,90.648256,90.428653,92.489726,93.73729,88.170986,92.926,94.918,87.84204,90.708667,92.502,90.667462,90.24,97.355,89.516219,94.729777,94.5525,88.603928,93.577777,100,93.866896,97.191111,98.21
9,5204,1718,63.444199,59.232578,62.362587,64.202561,61.324187,66.566196,61.281,55.474333,66.986113,51.115333,71.3565,75.751616,62.785,54.5865,70.149444,51.635,47.717,67.784186,67.85,65.03,60.627272,56.6,48.56
9,5234,1718,73.553855,75.716685,88.792142,90.032249,91.159192,82.43509,61.2365,83.351,90.753378,83.712,93.413,89.306927,88.234333,94.602,88.297829,87.267667,94.2845,80.488372,95.78,92.49,89.738636,91.13,88.75
11,5252,1718,78.182366,82.644351,88.98156,94.239943,85.585326,83.319315,81.87025,NULL,86.615405,89.0545,94.9435,88.489534,98.283166,96.2395,87.586409,79.566,94.72,79.654117,76.02,94.56,90.734375,63.01,92.97
8,5253,1718,89.18213,91.626953,92.498334,90.872902,93.930479,90.214434,93.3515,94.899,89.186892,94.3215,94.061,86.906448,89.7585,92.3975,87.683111,97.182222,96.523,87.536744,98.631111,94.32,91.974137,99.875555,95.2
8,5255,1718,79.639369,88.341433,90.969042,92.620497,94.422976,94.179909,80.479,93.108,92.31349,89.9325,93.5445,92.56298,88.9755,93.024,95.448666,92.672444,96.6905,93.753953,98.631111,97.87,93.811724,95.377777,94.6
7,5260,1718,77.555482,82.895623,81.629846,85.374259,84.788136,84.586743,80.834,83.7415,81.251547,73.167,81.433,83.365555,84.516444,92.437,80.837101,84.456444,91.2995,84.135357,86.137777,100,85.553448,78.582222,92.57
